Artist,Track Name,Popularity,Duration (ms),Track ID
Travis Scott,SKITZO (feat. Young Thug),78,366592,0bkV1iQHSxBaksUqgEkcbc
Young Thug,The London (feat. J. Cole & Travis Scott),69,200186,3s4mrPrEFFPF0LmAfutW0n
Dave,Sprinter,88,229133,2FDTHlrBguDzQkp7PVj16Q
Fivio Foreign,What’s My Name (with Queen Naija & Coi Leray),58,201398,5m4TMhR7wQQGxelJa7lToQ
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,87,157560,0RiRZpuVRbi7oqRdSMwhQY
Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",79,219453,5rurggqwwudn9clMdcchxT
Kanye West,Champions,66,334253,2nBI3iWLhupR7LyAJ5GGkE
DaBaby,VIBEZ,69,144935,0fySG6A6qLE8IvDpayb5bM
Kanye West,CARNIVAL,96,264324,3w0w2T288dec0mgeZZqoNN
Kanye West,BURN,89,111458,04CyMEHliadfQWMUJb1w99
Kanye West,FUK SUMN,88,209577,5tEaVciE2GnR28aN6W9cLS
Kanye West,BACK TO ME,86,295471,1icgLGTpX2fQXKRe4D7w2b
Kanye West,PAID,82,195117,2y4ZR0BUAVePljHSsZyIgj
The Weeknd,Popular (with Playboi Carti & Madonna),85,215466,7GUhiAHLoVy1V8ucQuZ3CB
Travis Scott,FE!N (feat. Playboi Carti),99,191700,42VsgItocQwOQC3XWZ8JNA
Playboi Carti,Sky,85,193234,29TPjc8wxfz4XMn21O7VsZ
Playboi Carti,Magnolia,82,181812,1e1JKLEDKP7hEQzJfNAgPl
Playboi Carti,Location,81,168783,3yk7PJnryiJ8mAPqsrujzf
Drake,Pain 1993 (with Playboi Carti),81,149077,6Kj17Afjo1OKJYpf5VzCeo
Playboi Carti,ILoveUIHateU,81,135122,1BpKJw4RZxaFB88NE5uxXf
Lil Baby,Drip Too Hard (Lil Baby & Gunna),85,145542,78QR3Wp35dqAhFEc2qAGjE
Lil Baby,Freestyle,84,162053,5BbdKBZO0TH0GhfxUfyhL9
Lil Nas X,MONTERO (Call Me By Your Name),80,137704,1SC5rEoYDGUK4NfG82494W
Lil Nas X,THATS WHAT I WANT,81,143901,0e8nrvls4Qqv5Rfa2UhqmO
Tyga,Taste (feat. Offset),77,229210,2toVe5hfuIi97ytDPDbQFt
Juice WRLD,Lucid Dreams (feat. Lil Uzi Vert) - Remix,64,240437,1jKlRcH7X78ps1yKBTWyUV
Lil Uzi Vert,Just Wanna Rock,78,123890,4Ls53fBNVfaXTROBi6X8Hw
Lil Uzi Vert,20 Min,84,220586,0uxSUdBrJy9Un0EYoBowng
Lil Uzi Vert,XO Tour Llif3,83,182706,7GX5flRQZVHRAGd6B4TmDO
Drake,Money In The Grave (Drake ft. Rick Ross),79,205426,5ry2OE6R2zPQFDO85XkgRb
Offset,Ric Flair Drip (with Metro Boomin),86,172800,7sO5G9EABYOXQKNPNiE9NR
